logFC	logCPM	F	PValue	FDR
TSS5_23306421	2.9125142816514	11.3986645428653	110.45980240398	2.78936509922645e-17	1.79724134680584e-14
TSS4_9353315	3.00521117179776	5.21989842893462	108.171164658673	4.68525215784579e-17	2.95590606450092e-14
TSS3_5500556	-2.42690065576159	7.37723102025082	105.704390133144	8.25053297718072e-17	5.09899775812171e-14
TSS5_1629667	-3.97367810086436	3.65529932047794	107.219705157141	8.53565317751793e-17	5.16970370349551e-14
TSS3_1676379	3.33889938345126	4.57080075987198	105.915065089205	1.14560531700802e-16	6.80242466959878e-14
TSS1_4291014	2.63862622764218	6.9090033277177	103.923846699237	1.2469207315411e-16	7.2616347140883e-14
TSS4_8369240	2.66191345454495	6.11382375221821	103.710535272307	1.310505129302e-16	7.48792959068913e-14
TSS3_5518331	2.68933466177737	5.68819478601284	102.611221551946	1.69489042145796e-16	9.46251378415921e-14
TSS1_29492804	2.94287119614749	7.98101063025146	102.552072278807	1.71858223468202e-16	9.46251378415921e-14
TSS5_22239187	-3.92775744487506	11.7880714755209	102.422042073971	1.7718627856232e-16	9.58166441732631e-14
TSS4_10078320	7.04670475113523	3.50041949284151	102.31754956126	1.81590153676701e-16	9.64753442770446e-14
TSS2_19114041	-2.40643770681008	7.25544674514934	101.377810776797	2.26593887339228e-16	1.18309356729204e-13
TSS5_21700241	2.37401805105686	10.2257572847729	100.559504848311	2.7502528219822e-16	1.40309171692755e-13
TSS1_5517725	4.48350900390181	3.80691611425492	102.577368452371	2.77995915251636e-16	1.40309171692755e-13
TSS1_20772179	4.00352505227879	4.33790844007648	100.540514654542	3.10327217412066e-16	1.54019218606146e-13
TSS1_5504535	2.88961595146891	6.48120866357475	99.9839036896788	3.15331755558598e-16	1.54019218606146e-13
TSS1_5304318	2.47799103236904	8.69485004348656	98.863854003663	4.11976442913233e-16	1.98029882868912e-13
TSS2_1824392	-2.30493605574318	9.57501239343101	98.5906050740297	4.39849668478174e-16	2.08124492351946e-13
TSS1_29427936	2.91253537474737	5.67075646042684	97.3140461622532	5.97987843856885e-16	2.75227732063128e-13
TSS3_16788875	2.70470045601351	6.78806839141375	97.3012204594233	5.99842496323564e-16	2.75227732063128e-13
TSS3_8078820	2.96181821299212	5.09257487474175	97.3256634098839	6.6678018902381e-16	3.01374693495643e-13
TSS2_11717307	-2.49329008263146	6.89456701602767	96.4542264273913	7.36309385849025e-16	3.279067225245e-13
TSS5_23901362	2.69434686205734	5.60468911479917	96.2833849635348	7.67479397057707e-16	3.36834472189834e-13
TSS1_23392848	2.74921230760107	5.54789578924521	95.7451049412643	8.74804861180257e-16	3.78453080158882e-13
