logFC	logCPM	F	PValue	FDR
TSS2_9713964	5.60035576613897	3.30609090377661	106.85730259245	1.0552486063746e-16	3.43613909105829e-14
TSS4_9280081	-2.59905430774936	7.33032999910099	104.351735555383	1.12871407006158e-16	3.63626044507178e-14
TSS3_7655945	-2.97673796035175	7.27272871667679	103.844269686508	1.27026391820228e-16	4.04920023525469e-14
TSS2_9844350	-2.62184375291713	5.25588561578691	104.110584057501	1.3478333235356e-16	4.25171213923214e-14
TSS5_19294713	-2.84983229956965	7.48145803325418	102.78716699371	1.62637184338083e-16	5.07746582815482e-14
TSS3_5500556	-2.38998681259768	7.37723102025082	102.544117511076	1.72179419422166e-16	5.32051975343006e-14
TSS1_27265669	2.6074963862438	9.46715799070921	101.964017455118	1.97337647486056e-16	6.03633937254568e-14
TSS1_29985328	2.36842805931029	7.71745613382547	101.888716394246	2.00868415421237e-16	6.08289822420132e-14
TSS1_7065494	3.25828396847552	5.01952582063875	101.814932996758	2.0439070013686e-16	6.12828076459854e-14
TSS2_151729	3.32635093232794	4.44408010706052	102.182248787999	2.11061038379615e-16	6.26623669142144e-14
TSS3_2617768	2.42284331620482	7.45123675111754	101.039298478146	2.45472959902723e-16	7.2171433444021e-14
TSS2_1824392	-2.33401438551724	9.57501239343101	100.845210698974	2.5701548130539e-16	7.48384598112608e-14
TSS1_13225272	-2.78750655467122	5.13596123067102	100.530658400941	2.7691396427788e-16	7.98646245735909e-14
TSS4_14672862	-2.44814105206437	7.36108734316199	99.9794776470547	3.15664057877302e-16	9.01816477801731e-14
TSS2_19005532	-2.84294534316741	8.69523717479728	99.5821231018367	3.47004991289035e-16	9.82088986094003e-14
TSS4_12623540	2.53838500832966	6.01055660147541	99.4326233711152	3.59605131102228e-16	1.00832612825637e-13
TSS1_28593278	-2.77078627690091	7.23782026669655	98.9492883726963	4.03637459006891e-16	1.12140854780786e-13
TSS5_6254624	2.77793139812586	5.30081716285009	98.8379229182468	4.14542190246e-16	1.14123464974724e-13
TSS3_2161879	-2.53618144808628	8.524880094011	97.7235293291912	5.41756701688733e-16	1.46652277027006e-13
TSS5_2202386	-2.39253531918844	8.2585655598158	97.7187153660848	5.42385332596659e-16	1.46652277027006e-13
TSS1_28485955	2.41821737780757	8.5815833641913	97.6394391702789	5.52845572217603e-16	1.46903763720446e-13
TSS4_7011268	2.5446799745905	8.2212137411799	97.6381489842811	5.53017503686255e-16	1.46903763720446e-13
TSS1_27432199	2.37218337831699	7.25930883079124	96.7969384328273	6.77625806216885e-16	1.78439498171008e-13
TSS3_1676379	3.19550709668328	4.57080075987198	97.0664737424803	8.90887716056042e-16	2.32575454356251e-13
TSS2_17701631	2.40782905588939	7.2425602309779	95.5760285813215	1.01678495389099e-15	2.6317349366394e-13
TSS5_23337850	-3.7716044620353	3.36967480078878	96.8417553193835	1.05525457031964e-15	2.70815882652454e-13
TSS4_1580120	-2.53737020686394	5.93532960651985	94.8972616273409	1.07594368244348e-15	2.73805063322991e-13
TSS1_18286972	-2.57396710265986	8.32606841454612	94.7456183140887	1.11663038581805e-15	2.80236253474858e-13
TSS2_13864597	-2.62201978571994	9.245772220551	94.7343220583701	1.11972349735686e-15	2.80236253474858e-13
TSS4_12346056	2.8097256872213	5.15936605649929	93.5947213112951	1.48147663907367e-15	3.67734074271049e-13
TSS3_6809609	3.45192129436098	4.8405652970668	93.4186124557271	1.54722251932212e-15	3.80622133708677e-13
TSS4_13860689	2.50534494986191	6.92801105955786	93.3890813038349	1.55853596340772e-15	3.80622133708677e-13
TSS2_16237099	-2.99378518305465	7.61671664039438	93.2402087094503	1.61687112417651e-15	3.91709666027497e-13
TSS3_19396644	-2.48755977049906	7.24992965230604	92.9515008405063	1.73644757141776e-15	4.17340014327333e-13
TSS5_5184798	2.9644892283238	5.25240873116786	92.7791532623589	1.81210424923095e-15	4.32094117948511e-13
TSS3_1136288	-2.50296947480185	5.68707434048536	92.8729571559799	1.96723971070338e-15	4.62089278259126e-13
