logFC	logCPM	F	PValue	FDR
TSS5_22896576	2.30374083738379	8.63085683030239	99.0140594000803	3.97430541046162e-16	4.62899579788497e-13
TSS1_662266	2.56871078828132	8.15310321304629	98.6652722417874	4.32046885091683e-16	4.84580585971534e-13
TSS1_11670746	2.95950490580387	8.6165870115822	98.4214796089686	4.58060763944529e-16	4.95409075519006e-13
TSS3_6301813	-4.14509767125461	4.1137895847074	97.1861913525865	6.16741455888388e-16	6.31595876691401e-13
TSS4_6191712	-2.88374856948751	5.56388839356618	97.1265550359011	6.25693501328866e-16	6.31595876691401e-13
TSS1_19698469	2.6071265407921	5.29157752136827	97.4220035652562	6.51544048608599e-16	6.3647446529078e-13
TSS1_18322284	3.29554865494134	6.7584894443427	96.785617774404	6.7948575008014e-16	6.43027092802402e-13
TSS5_4432498	2.5351846850237	6.6397975601927	93.3072523657585	1.59032884713316e-15	1.45939177205253e-12
TSS4_16942451	4.14904392836294	3.48714523931289	93.4794694358712	1.69498624423011e-15	1.47437649665294e-12
TSS2_14849536	3.8327817391312	6.59749246707874	93.0277093778636	1.70403121826942e-15	1.47437649665294e-12
TSS1_26122140	2.68433668795791	7.07384246626284	90.6803117781417	3.05621603892772e-15	2.570871952968e-12
TSS2_17087268	4.13657817152724	5.3995722096292	90.1517240076723	3.48963251466448e-15	2.85612274166445e-12
TSS3_15983321	2.34898617247924	7.03383327166498	89.4944499161495	4.11755424632738e-15	3.28136566425085e-12
TSS3_4384480	4.99883229404448	4.77804534781947	89.2474883745211	4.38237305904399e-15	3.40285649607767e-12
TSS2_100639	3.90001768173645	5.9153395578686	88.0564842324062	5.92648818510231e-15	4.48679604273633e-12
TSS5_18361050	2.22967210538603	8.18735933374499	86.8770594947184	8.00756768875273e-15	5.91446761752436e-12
TSS5_5205869	-2.3548101769912	7.01117921426164	86.5021051127954	8.81536537362423e-15	6.35608832403482e-12
TSS4_5740304	3.03241229783407	7.83532041498534	85.4631708162114	1.15178444259037e-14	8.11150890115444e-12
TSS5_19166068	2.603482597568	8.62810940782137	84.8138292102229	1.36242638245919e-14	9.37689957727537e-12
TSS2_9645292	2.58846197166525	5.03263081364215	83.4655184275327	1.93492758940356e-14	1.30212027088684e-11
TSS5_7664992	4.14581064599993	8.70170556624251	82.9850852158345	2.19404383299194e-14	1.43555978387862e-11
TSS1_11821738	-2.42483343986254	6.57700394648628	82.9264244728637	2.22802594994865e-14	1.43555978387862e-11
TSS3_5213003	3.02652919800476	6.90347190806744	81.1686741930213	3.54014071493811e-14	2.23346002646814e-11
TSS1_26860118	4.0046724545986	3.32667784899674	79.8817857523416	5.43649027923543e-14	3.35986194134871e-11
TSS5_9648832	3.00269178293029	6.42484941837485	79.2604933426776	5.88506114367806e-14	3.56434613228006e-11
TSS4_2543527	6.45936571067342	4.12840394083126	78.6889015775649	6.86071337014729e-14	4.0737839801602e-11
TSS4_10304551	-2.36139336764386	5.97239473127212	78.3531277025809	7.50951343001198e-14	4.37328067694332e-11
TSS5_20940891	2.33561288613676	8.14382215253487	76.3211826859708	1.30263779277149e-13	7.44297741103756e-11
TSS5_9832575	1.98071900905084	10.9480396234133	75.441052393684	1.65719788018735e-13	9.29350433439138e-11
TSS3_16625093	2.82168833848326	4.92740703114386	75.1021659510983	1.81879518634275e-13	1.00142862960032e-10
TSS5_25417100	3.57764141331861	5.57145986947566	74.5191143342369	2.1355447234821e-13	1.15483394395015e-10
TSS3_8608054	2.99771661603333	5.85614710376007	74.2955510193878	2.2714930801593e-13	1.20680043765727e-10
TSS2_16128427	2.14870508643474	7.55695702808653	73.3204045919566	2.97620394437221e-13	1.55393765599006e-10
TSS3_7527652	-2.01557337649916	12.5274712895726	73.1224534996135	3.14465435347421e-13	1.61102443803993e-10
TSS5_23925851	6.54761889368448	3.89129265054137	73.0688357941354	3.19193825850793e-13	1.61102443803993e-10
TSS5_2103159	4.27821782634278	5.62254781817432	72.5292520007215	3.71026409585896e-13	1.84193323958847e-10
TSS1_19154366	-3.263821801928	4.11374254901471	71.9850434038218	4.32058756698023e-13	2.11032827888488e-10
TSS4_12917023	-2.17580749973888	6.17092836887277	71.587770027217	5.20682876008939e-13	2.50283167209186e-10
TSS3_7993437	2.81016888640832	4.45587320719122	70.7452645781039	6.59421955439589e-13	3.12019923071517e-10
TSS2_18417245	3.33186107937739	5.69635881845925	69.9566923758037	7.65755559245688e-13	3.56759624625187e-10
TSS4_7042608	2.22072672731478	6.00339974247318	69.1599785397717	9.60749701849335e-13	4.34765259788719e-10
TSS3_3677066	-2.00168876994409	6.76153106280264	69.1336424839495	9.68000626660421e-13	4.34765259788719e-10
TSS5_1765918	2.14770571519374	5.69029369984193	69.1038935557993	9.76258549867349e-13	4.34765259788719e-10
TSS3_14917041	2.11349951579294	6.07338686166659	68.1104761438087	1.29769387413279e-12	5.69537153483525e-10
TSS5_4476232	3.35279453199168	5.80166786240244	68.2298073455958	1.34533428614046e-12	5.82010831245595e-10
TSS3_7704837	8.77881517686979	5.02973518783471	67.3361735688173	1.73811523830505e-12	7.33805104597488e-10
