logFC	logCPM	F	PValue	FDR
TSS4_694791	3.63664423690468	6.88508169757086	167.708649613937	3.37900175668599e-22	8.18610481581776e-20
TSS2_1140186	-3.30002077461811	7.37522559065603	167.622198069303	3.43039004981014e-22	8.23547723113378e-20
TSS2_10219289	3.90033322354653	6.50512558724094	167.583300463038	3.45377145049695e-22	8.23547723113378e-20
TSS4_16617624	-3.11709842631523	9.87561055972218	167.483565891521	3.51446945971693e-22	8.31474051942248e-20
TSS4_687585	3.69467163214856	6.37828884511934	167.235246787079	3.6703791984721e-22	8.61628629979306e-20
TSS5_23559509	3.54750500869647	7.20683070248111	166.399330599717	4.24918056321507e-22	9.89830269198785e-20
TSS2_9083168	-3.0691454829184	7.70617661830863	165.623624902001	4.86975119044226e-22	1.12573034580277e-19
TSS3_8550115	3.94468312086667	7.10365374652818	166.329849013872	5.28361690887473e-22	1.21214977917768e-19
TSS1_29903452	4.18389608849951	6.66905663015448	164.934869394377	5.49825591957685e-22	1.25106911839702e-19
TSS5_25668280	3.19906189225195	8.00241034817822	164.875822643041	5.5558583859356e-22	1.25106911839702e-19
TSS3_6212433	3.63491702502119	5.71855499689523	164.854105261146	5.57719945129603e-22	1.25106911839702e-19
TSS2_7767725	-4.65462078535489	6.10674303015278	164.248931929669	6.2068451197861e-22	1.38207272619472e-19
TSS1_8693095	-3.53340904270046	7.06328523094139	163.83850130511	6.67483303912625e-22	1.47543043010117e-19
TSS1_30383691	-3.88438424118244	5.55093280898223	163.701650509209	6.83877291327717e-22	1.50071420386067e-19
TSS4_8794281	3.16161162915317	8.84300436168697	163.621380799479	6.93684169259279e-22	1.51128328760279e-19
TSS5_25537174	4.01985809910261	6.78331917726115	163.401271204248	7.21320309997811e-22	1.56026735340455e-19
TSS3_589677	4.55112488403757	8.00996498395402	163.321566546767	7.31603196899689e-22	1.57128649728463e-19
TSS5_25184401	3.34476118762552	7.11271012596353	163.154717217849	7.53616911012328e-22	1.60716767015397e-19
TSS1_8314934	4.51686621584606	5.24161240846052	162.969548473975	7.78842006656031e-22	1.64934772640312e-19
TSS1_10378961	-3.1531346885573	8.72041453187792	162.908152721163	7.87395061553156e-22	1.65588087840376e-19
TSS5_24381593	4.01709859152676	5.7321987067517	162.789155947428	8.04247041816682e-22	1.67965608050583e-19
TSS3_5454843	3.15307461301733	7.30959558190281	162.284414373336	8.79929174816136e-22	1.82512980828473e-19
TSS3_10053929	4.26187983747843	6.49151264685065	162.227208474372	8.88954335491281e-22	1.83130640419609e-19
TSS3_19513979	10.3708483016478	6.21656935296223	162.8928578771	9.65558261675065e-22	1.97567573231797e-19
TSS2_16792587	3.38610224387116	8.55233842572374	161.538059214508	1.00542085608821e-21	2.04343354261203e-19
TSS1_19698469	-3.43226619777724	5.29157752136827	161.903595761678	1.15031288703236e-21	2.32232834386672e-19
TSS5_23384530	-3.25589875785876	7.00251100276072	160.463143128551	1.21911115255713e-21	2.44492337966143e-19
TSS3_5220245	-3.31157950367432	5.9048385871266	160.185242885459	1.28156436300477e-21	2.55326405295221e-19
TSS4_8550430	3.52954569077678	6.80414533175979	159.429377164465	1.46851532506151e-21	2.90660454829005e-19
TSS3_22973643	3.24259167807413	8.97156591936135	159.265460710921	1.51261032542371e-21	2.97444016135106e-19
TSS3_7259930	3.20078158174999	8.85010516847401	157.415774894133	2.11500067973043e-21	4.13216552156623e-19
TSS2_15789847	3.72252555361402	5.92609737067282	157.193426836313	2.20234351672935e-21	4.27522876391761e-19
TSS1_29911895	2.97383891750777	8.35188634355397	156.577628966305	2.46400662419502e-21	4.75270780894891e-19
TSS5_8863394	3.10008540420096	8.72026237861775	156.140073671012	2.66907665176866e-21	5.11567393958926e-19
TSS1_993404	-3.39269434750164	5.80556640297728	155.568206972242	2.96368435092684e-21	5.64460711944135e-19
TSS1_3338060	-3.03560568366144	8.85549282305093	154.928638270603	3.33283098872883e-21	6.3080075519797e-19
TSS5_23306421	-3.03701635270525	11.3986645428653	154.723348185675	3.46103494508606e-21	6.48075148027874e-19
TSS2_5556534	-4.05570604147685	4.52680989839084	154.714141391592	3.46690136315806e-21	6.48075148027874e-19
TSS5_18518836	11.2363084958205	4.25518407782749	156.76890996909	3.51073246576463e-21	6.52242400372701e-19
TSS5_5783722	-3.29509609898388	5.77415254505097	154.366939609413	3.69571789726714e-21	6.82423323676469e-19
TSS2_16702025	-3.86224795425128	5.01642189019563	154.291748224585	3.74727281655567e-21	6.87749470931851e-19
TSS5_16378881	-3.08180364289615	9.44272273574303	154.215411381253	3.80036567220585e-21	6.93292009948251e-19
TSS2_17363889	3.23503145387987	7.68505949798996	154.133406131746	3.8582584980263e-21	6.99638575423535e-19
TSS2_17045141	3.35539742174368	6.5561219696874	154.048591538213	3.91908374560095e-21	7.0643817302401e-19
TSS3_3250384	-3.47496628743865	5.85176656027628	153.97688844999	3.97127047391506e-21	7.11609371370235e-19
TSS5_1168897	-3.7517377335872	5.16093882448995	153.682388121604	4.19317591630442e-21	7.46952625137922e-19
TSS5_1765918	-3.34305716996169	5.69029369984193	153.53285925653	4.31065902762505e-21	7.59330503429888e-19
TSS3_21280948	3.38670511552548	6.25690458158811	153.530159687242	4.31281070534427e-21	7.59330503429888e-19
TSS4_16272021	-4.13223501658805	4.91235092041771	153.277148278878	4.5194264547047e-21	7.91108620392038e-19
TSS1_2563682	-3.28731965020151	7.44321694214001	154.098565446158	4.69461270863547e-21	8.1705147503223e-19
TSS3_6664203	-3.70636190040964	4.84567046889701	152.978507680512	4.77638089236507e-21	8.2653224321995e-19
TSS5_22936064	2.93475744994753	8.38935091341909	152.867949454655	4.87525395714371e-21	8.3884838400104e-19
TSS5_17072189	10.204957561844	6.57757346460285	153.372003565312	5.36369835397014e-21	9.17677272617388e-19
TSS5_26768014	4.00518935181262	6.59421126539472	151.959179906997	5.77159142606636e-21	9.81916309862739e-19
TSS3_673443	-2.8876132797977	8.21111178493226	151.777098147815	5.97056230239515e-21	1.01009239219795e-18
TSS1_2395445	-3.19425908965866	6.47343944469179	150.661385648317	7.35286354648989e-21	1.23224577453395e-18
TSS2_1710593	-3.30347140715505	6.02293444196224	150.652518195258	7.36507232409752e-21	1.23224577453395e-18
TSS5_16633205	-4.56171896317275	3.84669521042128	151.425554985348	7.67985663844829e-21	1.2778521900117e-18
TSS3_20133702	-3.44642100986481	5.28552096640562	150.119829831647	8.137839403817e-21	1.34665677959448e-18
TSS5_16610661	3.5917139713362	5.60688840096492	150.004972175016	8.31505452504319e-21	1.36850432707545e-18
TSS2_13878491	4.59083635012768	5.57643182278455	149.848583678784	8.56271272726221e-21	1.40164664605233e-18
TSS1_6463994	-3.30339091863628	6.31849543307326	149.714464746564	8.78110766773095e-21	1.42966819087041e-18
TSS5_21984576	-3.71750840968055	5.13911352081088	149.612393266061	8.9511285025762e-21	1.4495562804466e-18
TSS5_22896576	-2.88176564083063	8.63085683030239	149.576863474363	9.01109726933056e-21	1.45150563088903e-18
TSS5_25379328	-3.16306412969142	8.27273607887334	148.820310939818	1.03903456400559e-20	1.66481924348048e-18
TSS4_14555167	-3.49620212084736	5.69749626980855	148.635407206632	1.07591284699268e-20	1.71483519713049e-18
TSS1_29946314	-3.05459083581915	6.6677842957745	148.04097438023	1.2037964865701e-20	1.90861617815718e-18
TSS5_3884737	-3.10487195307516	7.67668432224548	147.703315867856	1.28325967149915e-20	2.02400794958379e-18
TSS5_7436655	3.4379507197282	6.12323144670054	147.59038225322	1.31101783719817e-20	2.05707529346488e-18
TSS5_3216467	3.77178440262249	5.5861395461039	147.180313143126	1.41707749464346e-20	2.21202875104577e-18
TSS5_18566558	2.93600701414799	8.23035874636363	147.009517975426	1.46380302815118e-20	2.2732485693078e-18
TSS2_8405863	-6.33637109266054	3.52139037683649	147.683604517086	1.54407264116132e-20	2.38567100981063e-18
TSS4_13860689	-3.35125255673431	6.92801105955786	146.672964661521	1.56054166181173e-20	2.39887731698704e-18
TSS5_587568	3.14996027017881	6.58040020026401	146.071452332704	1.75004208913462e-20	2.67659215077089e-18
TSS5_25609883	3.45981155124331	6.06229486687424	145.760176909909	1.85718859241887e-20	2.8261930725739e-18
TSS5_24288672	3.10213820676665	8.1894639819133	145.727751692678	1.86872903960905e-20	2.82953607532404e-18
TSS2_15620110	2.89876367025805	8.24446545848214	145.334507164988	2.01466954796179e-20	3.0353352199466e-18
TSS1_1662184	-3.02068495965519	6.70760691435666	145.285514883274	2.03365052925438e-20	3.0487643058124e-18
TSS1_9534698	5.05485344666169	4.8133390580308	145.109455806453	2.10338321068823e-20	3.13661219784421e-18
TSS4_17540490	-3.38093945643163	6.61839493069379	145.08573395324	2.11296400079325e-20	3.13661219784421e-18
TSS3_1360922	2.94146695857091	10.2804905110622	144.948095010074	2.16944107264161e-20	3.2047406830637e-18
TSS1_8756592	2.92498879423496	9.29490720220463	144.87875334275	2.19847625469173e-20	3.23186681654512e-18
TSS1_27109406	-8.05874436011684	3.47447078637075	146.665904812688	2.24454580961466e-20	3.28365124408506e-18
TSS5_6414569	-3.10535230139391	7.02393568394832	144.157467768406	2.52513321575168e-20	3.67637544099078e-18
TSS5_18926972	3.85065785837292	5.78216996443634	144.09273175592	2.55677859538361e-20	3.70463761741636e-18
TSS1_7992432	-4.49890557620953	4.18295335734478	143.951544939213	2.62721028448011e-20	3.7685427541123e-18
TSS5_15878790	-3.35397993268428	5.59932081192551	143.938148096452	2.63399559347717e-20	3.7685427541123e-18
TSS3_16557978	-3.12612157249003	6.86602316441767	143.929832426991	2.63821637179873e-20	3.7685427541123e-18
TSS5_24245800	5.44554328820007	6.14862467945417	143.764625829543	2.72351893586024e-20	3.87212788425614e-18
TSS1_27959220	2.88158989346612	8.62640312096321	143.325767455386	2.96408245239262e-20	4.19445368718718e-18
TSS2_7316889	-2.95776704784079	9.12323795665719	143.248382805789	3.00870415702554e-20	4.23779479010253e-18
